days,readings
135,"2 Samuel 15, Psalm 3, Psalm 69, Matthew 26:36-75"
136,"2 Samuel 16-18, John 13:1-20"
137,"2 Samuel 19-20, John 13:21-38"
138,"Psalm 64, Psalm 70, Luke 22:1-23"
139,"2 Samuel 21-22, Psalm 18, Luke 22:24-46"
140,"2 Samuel 23-24, Luke 22:47-71"
141,"Psalm 4-6, John 14:1-14"
142,"Psalm 7-8, John 14:15-31"
143,"Psalm 9, Psalm 11, John 15"
144,"Psalm 12-14, John 16:1-17"
145,"Psalm 15-16, John 16:18-33"
146,"Psalm 17, Psalm 19, John 17"
147,"Psalm 20-22, Mark 15:1-25"
148,"Psalm 24-26, Mark 15:26-47"
149,"Psalm 27-29, Matthew 27:1-26"
150,"Psalm 31, Psalm 35, Matthew 27:27-50"
151,"Psalm 36-38, Matthew 27:51-66"
152,"Psalm 39-41, John 18:1-18"
153,"Psalm 53, Psalm 55, Psalm 58, John 18:19-40"
154,"Psalm 61-62, Psalm 65, John 19:1-22"
155,"Psalm 68, Psalm 72, Psalm 86, John 19:23-42"
156,"Psalm 101, Psalm 103, Psalm 108, Luke 23:1-25"
157,"Psalm 109-110, Psalm 138, Luke 23:26-56"
158,"Psalm 139-141, Mark 16"
159,"Psalm 143-145, Matthew 28"
160,"1 Kings 1-2, John 20:1-15"
161,"1 Kings 3-4, Proverbs 1, John 20:16-31"
162,"Proverbs 2-4, John 21"
163,"Proverbs 5-7, Luke 24:1-35"
164,"Proverbs 8-9, Luke 24:36-53"
165,"Proverbs 10-12, Acts 1"
166,"Proverbs 13-15, Acts 2:1-21"
167,"Proverbs 16-18, Acts 2:22-47"
168,"Proverbs 19-21, Acts 3"
169,"Proverbs 22-24, Acts 4:1-22"
170,"Proverbs 25-26, Acts 4:23-37"
171,"Proverbs 27-29, Acts 5:1-21"
172,"Proverbs 30-31, Acts 5:22-42"
173,"Song of Solomon 1-3, Acts 6"
174,"Song of Solomon 4-5, Acts 7:1-21"
175,"Song of Solomon 6-8, Acts 7:22-43"
176,"1 Kings 5-7, Acts 7:44-60"
177,"1 Kings 8-9, Acts 8:1-25"
178,"1 Kings 10-11, Acts 8:26-40"
179,"Ecclesiastes 1-3, Acts 9:1-22"
180,"Ecclesiastes 4-6, Acts 9:23-43"
181,"Ecclesiastes 7-9, Acts 10:1-23"
182,"Ecclesiastes 10-12, Acts 10:24-48"
183,"1 Kings 12-13, Acts 11"
184,"1 Kings 14-15, Acts 12"
185,"1 Kings 16-18, Acts 13:1-25"
186,"1 Kings 19-20, Acts 13:26-52"
187,"1 Kings 21-22, Acts 14"
188,"2 Kings 1-3, James 1"
189,"2 Kings 4-6, James 2"
190,"2 Kings 7-9, James 3"
191,"2 Kings 10-12, James 4"
192,"2 Kings 13-14, James 5"
193,"Jonah 1-4, Acts 15:1-21"
194,"Amos 1-3, Acts 15:22-41"
195,"Amos 4-6, Acts 16:1-21"
196,"Amos 7-9, Acts 16:22-40"
197,"2 Kings 15-16, Galatians 1"
198,"2 Kings 17-18, Galatians 2"
199,"2 Kings 19-21, Galatians 3"
200,"2 Kings 22-23, Galatians 4:1-15"
201,"2 Kings 24-25, Galatians 4:16-31"
202,"Psalm 1-2, Psalm 10, Galatians 5"
203,"Psalm 33, Psalm 43, Psalm 66, Galatians 6"
204,"Psalm 67, Psalm 71, Acts 17:1-18:18"
205,"Psalm 89, Psalm 92, 1 Thessalonians 1"
206,"Psalm 93-95, 1 Thessalonians 2"
207,"Psalm 96-98, 1 Thessalonians 3"
208,"Psalm 99-100, Psalm 102, 1 Thessalonians 4"
209,"Psalm 104-105, 1 Thessalonians 5"
210,"Psalm 106, Psalm 111-112, 2 Thessalonians 1"
211,"Psalm 113-115, 2 Thessalonians 2"
212,"Psalm 116-118, 2 Thessalonians 3"
213,"Psalm 119:1-88, Acts 18:19-19:41"
214,"Psalm 119:89-176, 1 Corinthians 1:1-15"
215,"Psalm 120-122, 1 Corinthians 1:16-31"
216,"Psalm 123-125, 1 Corinthians 2"
217,"Psalm 127-129, 1 Corinthians 3"
218,"Psalm 130-132, 1 Corinthians 4"
219,"Psalm 133-135, 1 Corinthians 5"
220,"Psalm 136, Psalm 146, 1 Corinthians 6"
221,"Psalm 147-148, 1 Corinthians 7:1-19"
222,"Psalm 149-150, 1 Corinthians 7:20-40"
223,"1 Chronicles 1-3, 1 Corinthians 8"
224,"1 Chronicles 4-6, 1 Corinthians 9"
225,"1 Chronicles 7-9, 1 Corinthians 10:1-18"
226,"1 Chronicles 10-12, 1 Corinthians 10:19-33"
227,"1 Chronicles 13-15, 1 Corinthians 11:1-16"
228,"1 Chronicles 16, Psalm 42, Psalm 44, 1 Corinthians 11:17-34"
229,"Psalm 45-47, 1 Corinthians 12:1-15"
230,"Psalm 48-50, 1 Corinthians 12:16-31"
231,"Psalm 73, Psalm 85, 1 Corinthians 13"
232,"Psalm 87-88, 1 Corinthians 14:1-25"
233,"1 Chronicles 17-19, 1 Corinthians 14:26-40"
234,"1 Chronicles 20-22, 1 Corinthians 15:1-34"
235,"1 Chronicles 23-25, 1 Corinthians 15:35-58"
236,"1 Chronicles 26-27, 1 Corinthians 16"
237,"1 Chronicles 28-29, 2 Corinthians 1"
238,"2 Chronicles 1-3, 2 Corinthians 2"
239,"2 Chronicles 4-6, 2 Corinthians 3"
240,"2 Chronicles 7-9, 2 Corinthians 4"
241,"2 Chronicles 10-12, 2 Corinthians 5"
242,"2 Chronicles 13-14, 2 Corinthians 6"
243,"2 Chronicles 15-16, 2 Corinthians 7"
244,"2 Chronicles 17-18, 2 Corinthians 8"
245,"2 Chronicles 19-20, 2 Corinthians 9"
246,"2 Chronicles 21, Obadiah 1, 2 Corinthians 10"
247,"2 Chronicles 22, Joel 1, 2 Corinthians 11:1-15"
248,"2 Chronicles 23, Joel 2-3, 2 Corinthians 11:16-33"
249,"2 Chronicles 24-26, 2 Corinthians 12"
250,"Isaiah 1-2, 2 Corinthians 13"
251,"Isaiah 3-4, Romans 1:1-16"
252,"Isaiah 5-6, Romans 1:17-32"
253,"2 Chronicles 27-28, Romans 2"
254,"2 Chronicles 29-30, Romans 3:1-15"
255,"2 Chronicles 31-32, Romans 3:16-31"
256,"Isaiah 7-8, Acts 20:1-3"
257,"Isaiah 9-10, Romans 4"
258,"Isaiah 11-13, Romans 5"
259,"Isaiah 14-16, Romans 6"
260,"Isaiah 17-19, Romans 7"
261,"Isaiah 20-22, Romans 8:1-21"
262,"Isaiah 23-25, Romans 8:22-39"
263,"Isaiah 26-27, Romans 9:1-15"
264,"Isaiah 28-29, Romans 9:16-33"
265,"Isaiah 30-31, Romans 10"
266,"Isaiah 32-33, Romans 11:1-18"
267,"Isaiah 34-36, Romans 11:19-36"
268,"Isaiah 37-38, Romans 12"
269,"Isaiah 39-40, Romans 13"
270,"Isaiah 41-42, Romans 14"
271,"Isaiah 43-44, Romans 15:1-13"
272,"Isaiah 45-46, Romans 15:14-33"
273,"Isaiah 47-49, Romans 16"
274,"Isaiah 50-52, Acts 20:4-23:35"
275,"Isaiah 53-55, Acts 24"
276,"Isaiah 56-58, Acts 25"
277,"Isaiah 59-61, Acts 26:1-19"
278,"Isaiah 62-64, Acts 26:20-32"
279,"Isaiah 65-66, Acts 27:1-26"
280,"Hosea 1-4, Acts 27:27-44"
281,"Hosea 5-8, Acts 28:1-15"
282,"Hosea 9-11, Acts 28:16-31"
283,"Hosea 12-14, Philemon 1"
284,"Micah 1-3, Colossians 1"
285,"Micah 4-5, Colossians 2"
286,"Micah 6-7, Colossians 3"
287,"Nahum 1-3, Colossians 4"
288,"2 Chronicles 33-34, Ephesians 1"
289,"Zephaniah 1-3, Ephesians 2"
290,"2 Chronicles 35, Habakkuk 1-3, Ephesians 3"
291,"Jeremiah 1-2, Ephesians 4:1-16"
292,"Jeremiah 3-5, Ephesians 4:17-32"
293,"Jeremiah 6, Jeremiah 11-12, Ephesians 5:1-16"
294,"Jeremiah 7-8, Jeremiah 26, Ephesians 5:17-33"
295,"Jeremiah 9-10, Jeremiah 14, Ephesians 6"
296,"Jeremiah 15-17, Philippians 1"
297,"Jeremiah 18-19, Philippians 2"
298,"Jeremiah 20, Jeremiah 35-36, Philippians 3"
299,"Jeremiah 25, Jeremiah 45-46, Philippians 4"
300,"Jeremiah 47-48, 1 Timothy 1"
301,"Jeremiah 49, Jeremiah 13, Jeremiah 22, 1 Timothy 2"
302,"Jeremiah 23-24, 1 Timothy 3"
303,"Jeremiah 27-29, 1 Timothy 4"
304,"Jeremiah 50, 1 Timothy 5"
305,"Jeremiah 51, Jeremiah 30, 1 Timothy 6"
306,"Jeremiah 31-32, Titus 1"
307,"Jeremiah 33, Jeremiah 21, Titus 2"
308,"Jeremiah 34, Jeremiah 37-38, Titus 3"
309,"Jeremiah 39, Jeremiah 52, Jeremiah 40, 1 Peter 1"
310,"Jeremiah 41-42, 1 Peter 2"
311,"Jeremiah 43-44, 1 Peter 3"
312,"Lamentations 1-2, 1 Peter 4"
